789,Project for anewor28                            ,/projects/excel/project-for-anewor-13559084/
789,Get Articles Written ($30-250 USD),/projects/articles/get-articles-written-12519609/
789,Do some Blog Posting ($30-250 USD),/projects/content-writing/some-blog-posting-10216892/
790,Decision Making Software                            ,/projects/php/decision-making-software/
791,Survey work in Myanmar                             ,/projects/excel/survey-work-myanmar-8469507/
792,I need some Graphic Design                             ,/projects/graphic-design/need-some-graphic-design-8467379/
793,Content Writing on Project Management Topics                            ,/projects/articles/content-writing-project-management/
793,Excel with formulas and macros and powerpoint ($10-30 USD),/projects/excel-powerpoint/excel-with-formulas-macros-powerpoint/
793,Marketing blog and powerpoint writing on the latest trends and analysis on the adoption of the mobile and digital banking  ($10-200 USD),/projects/marketing/marketing-blog-powerpoint-writing-the/
793,voice audio recording for our company greetings  ($10-30 USD),/projects/voice-talent-audio-services/voice-audio-recording-for-our/
793,520627 technical senior developer PHP Database Ajax (N/A),/projects/php-c-programming/technical-senior-developer-php-database/
793,Virtuemart and template set up in my Joomla site ($30-350 USD),/projects/website-design-shopping-carts/virtuemart-template-set-joomla-site/
794,FEMALE PEACE PRESIDENT CAMPAIGN                            ,/projects/internet-marketing/female-peace-president-campaign/
795,Private project or contest #273889                            ,/login?goto=YTMyMzM1ZmQ2NWY5MzNmMzEzNzZjZDU4OTMzYmM4OGNodHRwczovL3d3dy5mcmVlbGFuY2VyLmNvbS9jb250ZXN0Ly0yNzM4ODkuaHRtbA
796,Using a wordpress buyed theme convert homepage using .jpg attached. (just home page)                            ,/projects/php/using-wordpress-buyed-theme-convert/
796,Minor Adjusts over HTML builded with boostrap -- 2 ($2-8 USD / hour),/projects/graphic-design/minor-adjusts-over-html-builded-13299975/
796,Find a full template NYX download and send it to me. ($15-25 USD / hour),/projects/graphic-design-php/find-full-template-nyx-download/
796,Simple designs to boostrap ($10-30 USD),/projects/html-five/simple-designs-boostrap/
796,Adjustments over responsive view of a site ($10-50 USD),/projects/graphic-design/adjustments-over-responsive-view-site/
797,Build a homepage over a specific wordpress theme based on my homepage design. (.psd)                            ,/projects/php/build-homepage-over-specific-wordpress/
797,really small modification over input field via css ($2-8 USD / hour),/projects/php/really-small-modification-over-input/
797,Convert a Template to a Website  -- 2 ($30-250 USD),/projects/psd-to-html/convert-template-website-10883821/
797,Clone Wordpress pages categories and subcategories to a new site (same contents) ($2-8 USD / hour),/projects/php-html.1/clone-wordpress-pages-categories/
797,Simple designs to boostrap ($10-30 USD),/projects/html-five/simple-designs-boostrap/
797,Minor Adjusts over HTML builded with boostrap ($2-8 USD / hour),/projects/graphic-design/minor-adjusts-over-html-builded/
798,Design a waveguide antenna using HFSS                            ,/projects/electrical-engineering/design-waveguide-antenna-using-hfss/
799,Template for article spinning - from 1000 words template -> 150 words articles                            ,/projects/articles/template-for-article-spinning-from/
799,English -> Finnish easy longterm NATIVE translations - games descriptions - 15.000 words (max $0.01/word) ($30-250 USD),/projects/translation/english-finnish-easy-longterm-native-14035135/
799,English -> Lithuanian easy translations - game descriptions - 15.000 words (max $0.01 / word) ($30-250 USD),/projects/articles/english-lithuanian-easy-translations/
799,English -> Russian easy translations - games descriptions - 15.000 words (max $0.01 / word) ($30-250 USD),/projects/translation/english-russian-easy-translations-games/
799,English -> German proofreading - 10.000 words - easy games reviews - max $0.01 per word - native speaker - Longterm cooperation! ($30-250 USD),/projects/translation/english-german-proofreading-words-easy/
799,English lessons at Malta ($250-750 USD),/projects/translation/english-lessons-malta/
800,§¯§Ñ§á§Ú§ã§Ñ§ß§Ú§Ö §ï§Ý§Ö§Ü§ä§â§à§ß§ß§à§Û §Ü§ß§Ú§Ô§Ú                             ,/projects/ghostwriting/project-8427462/
800,Amazon FBA Assistant   ($250-750 USD),/projects/seo/amazon-fba-assistant/
801,Create a Video  for Beauty Wholesale Supplier                            ,/contest/create-a-video-for-beauty-wholesale-supplier-271563.html
802,Create an angularjs directive to handle the video tag's ended event                            ,/projects/javascript/create-angularjs-directive-handle-the/
802,Video portal in python ($1500-3000 USD),/projects/javascript/video-portal-python/
802,Web TemplateProject for timid ($30-250 USD),/projects/javascript-python/web-templateproject-for-timid/
802,HTML5 with Jquery and backbone.js ($250-750 USD),/projects/javascript-ajax/html-with-jquery-backbone/
802,Create a Powerpoint template ($30-250 USD),/projects/graphic-design-photoshop/create-powerpoint-template/
802,Install Apache Shindig and Partuza ($30-250 USD),/projects/php-java/install-apache-shindig-partuza/
803,Waiheke Island double ended punt houseboat                            ,/projects/autocad/waiheke-island-double-ended-punt/
804,JWPlayer 6/Flowplayer Edits                            ,/projects/html.1/jwplayer-flowplayer-edits/
804,Custom Wordpress Edit ($30-250 USD),/projects/php-css/custom-wordpress-edit/
804,I need you to turn my Custom PHP CMS theme into a modern mobile compatible theme! ($250-750 USD),/projects/php/need-you-turn-custom-php/
804,Need someone experienced with Googlevideo / JWPlayer / Flowplayer ($30-250 USD),/projects/php/need-someone-experienced-with-10142393/
804,Custom CMS ($750-1500 USD),/projects/php-javascript/custom-cms.4339700/
804,Create Google Drive streaming script like kissanime 9anime MasterAnime and FMovies ($30-250 USD),/projects/graphic-design/create-google-drive-streaming-script/
805,Create an Animation                            ,/contest/create-an-animation-270345.html
806,Video Cartoon                            ,/projects/caricature-cartoons/video-cartoon/
807,LED Driver circuit                            ,/projects/electrical-engineering/led-driver-circuit-8390420/
808,LED Driver circuit                            ,/projects/electrical-engineering/led-driver-circuit/
808,Fix ActiveX Control vb6 Win7 ($25-50 USD / hour),/projects/net-c-sharp-programming/fix-activex-control-win/
809,Move some text from one wordpress site to another -- 2                            ,/projects/wordpress/move-some-text-from-one-8386678/
809,Tell me how we should redesign homepage and products page ($10-50 USD),/projects/website-design/tell-how-should-redesign-homepage/
809,Make an animated video for website ($25-120 USD),/projects/threed-animation/make-animated-video-for-website/
809,Change cartoons/caricatures in a PSD ($2-5 USD / hour),/projects/caricature-cartoons/change-cartoons-caricatures-psd/
809,Move some text from one wordpress site to another ($2-8 USD / hour),/projects/wordpress/move-some-text-from-one/
809,Edit 5 pictures - must be done perfectly ($2-6 USD / hour),/projects/photoshop/edit-pictures-must-done-perfectly/
810,Re-Design Shopify Template and install                            ,/projects/website-design/design-shopify-template-install/
810,Create and install Wordpress Template -- 2 ($30-250 USD),/projects/php/create-install-wordpress-template-8344164/
810,Copy and load my Amazon products into eBay Store ($30-250 USD),/projects/excel/copy-load-amazon-products-into/
810,Write Alternative Health or Natural Healing Articles 1000 Words Each ($30-250 USD),/projects/articles/write-alternative-health-natural-healing-9645430/
810,Create simple label design similar to attached sample but with a twist ($10-30 USD),/projects/graphic-design/create-simple-label-design-similar/
